D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_17_729.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_17_729.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_17_729.jpg, 0, 0, 0, 7.794845E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_17_833.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_17_833.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_17_833.jpg, 0, 0, 0, 7.895819E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_17_937.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_17_937.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_17_937.jpg, 0, 0, 0, 7.852966E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_037.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_037.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_037.jpg, 0, 0, 0, 7.986171E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_143.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_143.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_143.jpg, 0, 0, 0, 7.77615E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_244.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_244.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_244.jpg, 0, 0, 0, 7.782847E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_347.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_347.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_347.jpg, 0, 0, 0, 7.820662E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_447.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_447.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_447.jpg, 0, 0, 0, 7.98955E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_553.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_553.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_553.jpg, 0, 0, 0, 7.82174E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_663.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_663.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_663.jpg, 0, 0, 0, 7.954866E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_764.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_764.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_764.jpg, 0, 0, 0, 7.891317E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_866.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_866.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_866.jpg, 0, 0, 0, 8.043969E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_18_971.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_18_971.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_18_971.jpg, 0, 0, 0, 7.842027E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_19_074.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_19_074.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_19_074.jpg, 0, 0, 0, 7.848466E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_19_180.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_19_180.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_19_180.jpg, 0, 0, 0, 8.189568E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_19_286.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_19_286.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_19_286.jpg, 0, 0, 0, 7.882105E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_19_389.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_19_389.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_19_389.jpg, 0, 0, 0, 7.824162E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_19_494.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_19_494.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_19_494.jpg, 0, 0, 0, 7.758186E-05
D:\Softwares\simulator-windows-64\Driving Data\IMG\center_2023_05_13_16_04_19_594.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\left_2023_05_13_16_04_19_594.jpg, D:\Softwares\simulator-windows-64\Driving Data\IMG\right_2023_05_13_16_04_19_594.jpg, 0, 0, 0, 7.978624E-05
